"Catagory" "Mean" "Sdev"
"Subject 1" "-0.463716542749936" "0.497295074540271"
"Subject 10" "-0.485217163189524" "0.501294173234371"
"Subject 11" "-0.524889013946856" "0.510217280027573"
"Subject 12" "-0.508086236045606" "0.503778573784079"
"Subject 13" "-0.495520215294449" "0.507536684934289"
"Subject 14" "-0.470407319816446" "0.506264788627301"
"Subject 15" "-0.517068292901229" "0.508486059876069"
"Subject 16" "-0.545471854544871" "0.515380709535846"
"Subject 17" "-0.532283183746643" "0.515899506665549"
"Subject 18" "-0.554871723221615" "0.510829344636885"
"Subject 19" "-0.483419110756989" "0.509647921726285"
"Subject 2" "-0.486713996139449" "0.502811089306893"
"Subject 20" "-0.488484740349164" "0.501909977046085"
"Subject 21" "-0.531074045846152" "0.512264571270128"
"Subject 22" "-0.500546088727287" "0.507417374971588"
"Subject 23" "-0.475827255097812" "0.507161328898879"
"Subject 24" "-0.532915921247308" "0.506897852697339"
"Subject 25" "-0.546032397931626" "0.511719756490632"
"Subject 26" "-0.53156690682358" "0.510550381436544"
"Subject 27" "-0.536397143012394" "0.512075457117072"
"Subject 28" "-0.528449504034801" "0.502513360558791"
"Subject 29" "-0.515399693128953" "0.510407502152705"
"Subject 3" "-0.513305700948802" "0.503373423412521"
"Subject 30" "-0.515229704083787" "0.500361287803291"
"Subject 4" "-0.516905997620793" "0.509131852685244"
"Subject 5" "-0.486744619244046" "0.504180551402664"
"Subject 6" "-0.465296805542408" "0.499756707252724"
"Subject 7" "-0.489057862500484" "0.502623938425635"
"Subject 8" "-0.467970825052308" "0.504688950595559"
"Subject 9" "-0.502495097191743" "0.500843675962414"
"Laying" "-0.632809291641507" "0.539669943779203"
"Sitting" "-0.638607842102397" "0.53467793118675"
"Standing" "-0.636649035849123" "0.53111948474992"
"Walking" "-0.362236731956786" "0.466097504323914"
"Walking_downstairs" "-0.30320993873128" "0.472949983842759"
"Walking_upstairs" "-0.394918594401661" "0.479502492538219"
